"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder recruitment ID"
"recruitment_era","character","Recruitment era (academic year)"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"school_id","character","Pseudo school ID"
"year_group","character","School year group"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey_m","numeric","Age (months) at survey date"
"survey_version","numeric","Survey version"
"survey_mode","haven_labelled","Survey taken online or offline?"
"awb2_1_illhealth_1","haven_labelled","How often do you feel sad or empty?"
"awb2_1_illhealth_2","haven_labelled","How often do you worry when you think you have done poorly at something?"
"awb2_1_illhealth_3","haven_labelled","How often do you feel afraid to be home alone?"
"awb2_1_illhealth_4","haven_labelled","How often do you feel nothing is much fun anymore?"
"awb2_1_illhealth_5","haven_labelled","How often do you worry that something awful will happen to someone in family?"
"awb2_1_illhealth_6","haven_labelled","How often do you feel afraid of being in crowded places?"
"awb2_1_illhealth_7","haven_labelled","How often do you worry what others think of you?"
"awb2_1_illhealth_8","haven_labelled","How often do you have trouble sleeping?"
"awb2_1_illhealth_9","haven_labelled","How often do you feel scared to sleep alone?"
"awb2_1_illhealth_10","haven_labelled","How often do you have problems with appetite?"
"awb2_1_illhealth_11","haven_labelled","How often do you suddenly become dizzy/faint for no reason?"
"awb2_1_illhealth_12","haven_labelled","How often do you have to do some things over and over again?"
"awb2_1_illhealth_13","haven_labelled","How often do you have no energy for things?"
"awb2_1_illhealth_14","haven_labelled","How often do you suddenly tremble/shake for no reason?"
"awb2_1_illhealth_15","haven_labelled","How often is it when you can't think clearly?"
"awb2_1_illhealth_16","haven_labelled","How often do you feel worthless?"
"awb2_1_illhealth_17","haven_labelled","How often do you think special thoughts to stop bad happening?"
"awb2_1_illhealth_18","haven_labelled","How often do you think about death?"
"awb2_1_illhealth_19","haven_labelled","How often do you feel like you don't want to move?"
"awb2_1_illhealth_20","haven_labelled","How often do you worry about being scared for no reason?"
"awb2_1_illhealth_21","haven_labelled","How often do you feel you are tired alot?"
"awb2_1_illhealth_22","haven_labelled","How often do you feel afraid you will make a fool of yourself?"
"awb2_1_illhealth_23","haven_labelled","How often do you do something the right way to stop bad things happening?"
"awb2_1_illhealth_24","haven_labelled","How often do you feel restless?"
"awb2_1_illhealth_25","haven_labelled","How often do you worry something bad will happen to you?"
"awb2_2_optmstc_1_a4","haven_labelled","Have you felt optimistic about the future over past 2 weeks?"
"awb2_2_useful_2_a4","haven_labelled","Have you felt useful over past 2 weeks?"
